Sp,ctmin,SE_ctmin,mid.ele,bio1,bio5,bio6,Te_max,Te_min,Te_ave,clade
antonii,13.36,0.3,1557.52,18.05,22.68,13.51,46.66,16.42,29.4,Draconura
calimae,13.59,0.55,2159.75,16.32,21.31,11.48,46.48,14.16,28.37,Dactyloa
chloris,12.98,0.54,1370.25,18.38,22.87,13.96,47.03,18.67,30.49,Dactyloa
chocorum,18.97,0.75,581.5,23.76,28.63,19.03,53.01,23.76,35.58,Dactyloa
granuliceps,15.5,0.66,612.5,23.76,28.63,19.03,49.91,23.81,34.48,Draconura
heterodermus,7.44,0.88,2182,17.1,22.26,12.08,46.69,14.82,28.65,Dactyloa
maculigula,13.1,0.47,1409.48,18.38,22.87,13.96,49.49,18.67,31.47,Dactyloa
maculiventris,17.98,0.6,564.31,23.76,28.63,19.03,50.13,23.81,34.58,Draconura
notopholis,14.43,0.46,238.5,23.76,28.63,19.03,50.18,23.81,34.59,Draconura
princeps,13.1,2.35,771.5,22.42,27.19,17.76,50.18,21.21,33.1,Dactyloa
ventrimaculatus,11.93,0.38,1998.26,18.78,23.97,13.77,46.58,15.5,28.61,Dactyloa
