Species,Abbreviation,Locality,Month,Elevation,Sex,Age,SVL,Mass,CTmin,CTmax,bio1,bio4,bio5
antonii,anto,Tatama,November,1330,m,Adult,45.1,1.65,11.25,32.29,18.38,23.26,22.87
antonii,anto,Tatama,November,1330,m,NA,NA,NA,NA,NA,18.38,23.26,22.87
antonii,anto,Tatama,November,1337,m,Adult,42,1.44,11.5,NA,18.38,23.26,22.87
antonii,anto,Tatama,November,1339,m,Adult,41.9,1.36,NA,NA,18.38,23.26,22.87
antonii,anto,Tatama,November,1341,h,Adult,44.6,2.13,NA,NA,18.38,23.26,22.87
antonii,anto,Tatama,January,1341,NA,Juv,23,0.24,NA,NA,18.38,23.26,22.87
antonii,anto,Tatama,November,1343,NA,Juv,36,0.88,10.8,NA,18.38,23.26,22.87
antonii,anto,Tatama,November,1344,NA,Juv,31,0.54,12.3,NA,18.38,23.26,22.87
antonii,anto,Tatama,November,1344,h,Adult,43,1.54,11.4,NA,18.38,23.26,22.87
antonii,anto,Tatama,January,1340,NA,Juv,34,0.7,NA,28.22,18.38,23.26,22.87
antonii,anto,Tatama,January,1329,NA,Juv,33,0.71,NA,24.41,18.38,23.26,22.87
antonii,anto,Tatama,November,1339,m,Adult,42.6,1.32,NA,NA,18.38,23.26,22.87
antonii,anto,Tatama,January,1394,h,Adult,41,1.74,16.87,NA,18.38,23.26,22.87
antonii,anto,Tatama,January,1327,m,Adult,44,1.77,NA,29.83,18.38,23.26,22.87
antonii,anto,Tatama,January,1330,NA,Juv,30,0.61,NA,26.67,18.38,23.26,22.87
antonii,anto,Tatama,September,1348,NA,Juv,31,0.62,11.01,NA,18.38,23.26,22.87
antonii,anto,Tatama,September,1348,NA,Juv,34,0.74,12.4,NA,18.38,23.26,22.87
antonii,anto,Tatama,September,1348,h,Adult,47,0.9,11.87,NA,18.38,23.26,22.87
antonii,anto,Tatama,January,1329,NA,Juv,39,1.36,NA,NA,18.38,23.26,22.87
antonii,anto,Tatama,September,1356,h,Adult,40,1.07,11.45,NA,18.38,23.26,22.87
antonii,anto,Tatama,September,1353,h,Adult,44,1.64,12.02,NA,18.38,23.26,22.87
antonii,anto,Tatama,January,1353,m,Adult,42,1.59,NA,29.2,18.38,23.26,22.87
antonii,anto,Tatama,January,1356,NA,Juv,36,0.94,NA,26.6,18.38,23.26,22.87
antonii,anto,Tatama,January,1363,h,Adult,45,1.81,19.45,NA,18.38,23.26,22.87
